,review
0,국물 자체가 김치찌개 맛이 강하다 보니 밥을 부르는 맛입니다
1,살짝 국물이 졸여져서 약간 매콤하면서 짠 느낌도 있지만 김치전골 오래 끓으면 느껴지는 그런 맛이에요
2,다만 식감은 또렷이 기억난다 센 불에 팔팔 끓여 건져 낸 순두부 같은 느낌  한마디로 흐물흐물이다 아  건김치의 경우에는 그런대로 식감이 살아있다
3,면도 컵라면보다 훨씬 쫄깃하고 탱글하고 맛잇다
4,쫄깃쫄깃한 면발이 맛있네요
5,표고버섯 냄새가 나지 않는 것이 수상하여 찍어먹어보니 시큼한 김치향이 강렬합니다
6,보다 보니 약간 해외를 겨냥 했을 수도 있겠다는 생각이 들기도 신라면은 너무 맵고 블랙은 고급스럽지만 뭔가 단조롭고 약간의 블랙 업그레이드 버전으로 생각하면 색다르고 괜찮은 도전 이라고 생각도 들었다
7,외국인이라면 정말 새롭게 맛있어 할 거 같단 생각이 들었다
8,개인적으론 신라면 시리즈의 장점이 부각되지 않은 신제품인 것 같았답니다
9,두부는 약간 몰캉거리지만  이게 특별한 느낌을 주는 요소가 되지는 않았어요
10,일단 제가 사실 김치관련 라면을 참으로 좋아하기 때문에 저에게 희소식이었는데 말이죠 토종 한국인이에요
11,김치 없이도 맛있게 먹을 수 있는 컵라면  정말이지 다양한 전쟁    속에서 살아남으려면 뭔가 독특한 나만의 브랜딩이 필요하다는걸 라면 먹으며 느껴봅니다
12,국물에 밥 말아먹고싶어서 참느라 혼났다
13,보들보들한 두부가 들어가서 맛있습니다
14,면발이 진짜 맛있어요  우리가 컵라면 먹을때의 면과는 조금 다른 질감이라고 해야될까요
15,자취생이다보니 평소 컵라면을 많이 먹는 편인데 칼로리도 500칼로리가 넘지 않기 때문에 국물을 먹지 않는다면 그리 부담되지 않기 때문이에요
16,라면을 먹으면서 중간중간 씹히는 김치의 식감이 꽤나 매력적이었습니다
17,사골 국물의 깊은 맛에 김치 맛이 더해진 느낌의 신라면 블랙 두부김치였습니다
18,매울  신  한자가 얼핏 보면  푸 라는 한글과 비슷해서 일명  푸라면  이라는 애칭도 있는 신라묜의 프리미엄 버전인 신라면 블랙  여기에 두부김치가 더해진 신선한 만남인 신라면 블랙 두부김치라니 조합 자체도 신선하고 기대가 되더라구요
19,내용물은 생각보다 심플해 보인다 싶었는데 요 면을 들춰보니 건더기들이 숨어있더라구요
